suburb,median_price,sales_count
Nan,2025.0,2025
Abbotsford,1310000.0,9
Aberfeldie,2045000.0,11
Aintree,720000.0,39
Aireys Inlet,1312500.0,4
Airport West,1000000.0,29
Albanvale,625000.0,23
Albert Park,2046000.0,16
Albion,738800.0,14
Alexandra,680000.0,5
Alfredton,610000.0,83
Allansford,837500.0,4
Alphington,1965000.0,14
Altona,1200000.0,25
Altona East,950000.0,3
Altona Meadows,738500.0,20
Altona North,1039500.0,44
Anglesea,1375000.0,18
Apollo Bay,775000.0,6
Ararat,377000.0,35
Ardeer,695000.0,12
Armadale,2588000.0,20
Armstrong Creek,648000.0,129
Ascot (Greater Bendigo),622500.0,14
Ascot Vale,1357500.0,45
Ashburton,1851000.0,30
Ashwood,1510000.0,17
Aspendale,1339300.0,14
Aspendale Gardens,1225000.0,14
Attwood,700000.0,7
Avenel,569000.0,2
Avoca,380000.0,9
Avondale Heights,932500.0,34
Bacchus Marsh,620000.0,40
Badger Creek,697500.0,6
Bairnsdale,450000.0,35
Balaclava,1450000.0,5
Balcombe,1580000.0,34
Ballan,622500.0,12
Ballarat Central,635000.0,34
Ballarat East,500000.0,29
Ballarat North,515000.0,28
Balnarring,1320000.0,6
Balnarring Beach,1187500.0,4
Balwyn,3100000.0,31
Balwyn North,2325000.0,56
Bandiana,629000.0,3
Bannockburn,699000.0,17
Baranduda,615000.0,10
Barwon Heads,1465000.0,16
Baxter,752500.0,12
Bayswater,845500.0,26
Bayswater North,910000.0,21
Beaconsfield,815000.0,25
Beaufort,395000.0,9
Beaumaris,1943000.0,35
Beeac,460000.0,2
Beechworth,790000.0,19
Belgrave,860000.0,11
Belgrave Heights,1053100.0,4
Bell Park,645000.0,25
Bell Post Hill,650000.0,25
Bellfield (Banyule),1090000.0,7
Belmont,670000.0,62
Benalla,465000.0,55
Bendigo,597500.0,34
Bentleigh,1687500.0,36
Bentleigh East,1440500.0,72
Berwick,900000.0,181
Beveridge,615000.0,60
Birchip,282500.0,2
Birregurra,605000.0,5
Bittern,880000.0,13
Black Hill,527500.0,12
Black Rock,2590000.0,11
Blackburn,1638000.0,28
Blackburn North,1399000.0,21
Blackburn South,1422300.0,18
Blairgowrie,1300000.0,33
Blind Bight,830000.0,5
Bonbeach,1035000.0,15
Bonnie Brook,647900.0,27
Bonnie Doon,718800.0,2
Bonshaw,545000.0,11
Boort,270000.0,3
Boronia,856000.0,62
Botanic Ridge,910000.0,49
Box Hill,1725000.0,7
Box Hill North,1342000.0,23
Box Hill South,1350000.0,19
Braybrook,770000.0,19
Breakwater,500000.0,5
Briar Hill,1190500.0,13
Bright,850000.0,9
Brighton,3341800.0,58
Brighton East,2337500.0,42
Broadford,559300.0,16
Broadmeadows,615000.0,26
Brookfield,565000.0,59
Brooklyn,857500.0,6
Brown Hill,610000.0,26
Brunswick,1305000.0,55
Brunswick East,1650000.0,23
Brunswick West,1282500.0,27
Bulleen,1350000.0,27
Bundalong,750000.0,0
Bundoora,882000.0,69
Buninyong,725000.0,17
Bunyip,758000.0,4
Burnley,1105000.0,4
Burnside,860000.0,13
Burnside Heights,730000.0,16
Burwood,1594400.0,24
Burwood East,1318000.0,30
Cairnlea,897000.0,18
California Gully,450000.0,17
Camberwell,2688900.0,59
Campbellfield,643000.0,15
Campbells Creek,780000.0,7
Camperdown,461300.0,12
Canadian,550000.0,26
Canterbury,4167500.0,22
Cape Paterson,692500.0,14
Capel Sound,705000.0,23
Cardigan Village,410000.0,5
Carisbrook,432500.0,2
Carlton,1360000.0,18
Carlton North,1730000.0,20
Carnegie,1725000.0,21
Caroline Springs,750000.0,59
Carrum,881000.0,5
Carrum Downs,745000.0,97
Casterton,375000.0,5
Castlemaine,782500.0,27
Caulfield,2080000.0,5
Caulfield East,1819000.0,2
Caulfield North,2450000.0,19
Caulfield South,1755000.0,19
Chadstone,1200000.0,11
Charlemont,600000.0,31
Charlton,265000.0,5
Chelsea,980000.0,13
Chelsea Heights,970000.0,17
Cheltenham,1256000.0,37
Cheltenham East,1220000.0,19
Cheltenham North,1100000.0,11
Chewton,600000.0,5
Chiltern,465000.0,5
Chirnside Park,900000.0,46
Chum Creek,761000.0,0
