region,suburb,median_rent,property_type
Inner Melbourne,Albert Park-Middle Park-West St Kilda,638.0,2 Bed Flat
Inner Melbourne,Armadale,625.0,2 Bed Flat
Inner Melbourne,Carlton North,585.0,2 Bed Flat
Inner Melbourne,Carlton-Parkville,665.0,2 Bed Flat
Inner Melbourne,CBD-St Kilda Rd,730.0,2 Bed Flat
Inner Melbourne,Collingwood-Abbotsford,690.0,2 Bed Flat
Inner Melbourne,Docklands,750.0,2 Bed Flat
Inner Melbourne,East Melbourne,668.0,2 Bed Flat
Inner Melbourne,East St Kilda,575.0,2 Bed Flat
Inner Melbourne,Elwood,600.0,2 Bed Flat
Inner Melbourne,Fitzroy,740.0,2 Bed Flat
Inner Melbourne,Fitzroy North-Clifton Hill,670.0,2 Bed Flat
Inner Melbourne,Flemington-Kensington,550.0,2 Bed Flat
Inner Melbourne,North Melbourne-West Melbourne,650.0,2 Bed Flat
Inner Melbourne,Port Melbourne,725.0,2 Bed Flat
Inner Melbourne,Prahran-Windsor,630.0,2 Bed Flat
Inner Melbourne,Richmond-Burnley,695.0,2 Bed Flat
Inner Melbourne,South Melbourne,680.0,2 Bed Flat
Inner Melbourne,South Yarra,700.0,2 Bed Flat
Inner Melbourne,Southbank,720.0,2 Bed Flat
Inner Melbourne,St Kilda,625.0,2 Bed Flat
Inner Melbourne,Toorak,650.0,2 Bed Flat
Inner Melbourne,Total,700.0,2 Bed Flat
Inner Eastern Melbourne,Balwyn,585.0,2 Bed Flat
Inner Eastern Melbourne,Blackburn,540.0,2 Bed Flat
Inner Eastern Melbourne,Box Hill,600.0,2 Bed Flat
Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,580.0,2 Bed Flat
Inner Eastern Melbourne,Burwood-Ashburton,570.0,2 Bed Flat
Inner Eastern Melbourne,Camberwell-Glen Iris,590.0,2 Bed Flat
Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,560.0,2 Bed Flat
Inner Eastern Melbourne,Chadstone-Oakleigh,575.0,2 Bed Flat
Inner Eastern Melbourne,Clayton,570.0,2 Bed Flat
Inner Eastern Melbourne,Doncaster East-Donvale,575.0,2 Bed Flat
Inner Eastern Melbourne,East Hawthorn,600.0,2 Bed Flat
Inner Eastern Melbourne,Glen Waverley-Mulgrave,640.0,2 Bed Flat
Inner Eastern Melbourne,Hawthorn,588.0,2 Bed Flat
Inner Eastern Melbourne,Kew,565.0,2 Bed Flat
Inner Eastern Melbourne,Mount Waverley,521.0,2 Bed Flat
Inner Eastern Melbourne,Nunawading-Mitcham,500.0,2 Bed Flat
Inner Eastern Melbourne,Vermont-Forest Hill-Burwood East,560.0,2 Bed Flat
Inner Eastern Melbourne,Total,580.0,2 Bed Flat
Southern Melbourne,Aspendale-Chelsea-Carrum,530.0,2 Bed Flat
Southern Melbourne,Bentleigh,580.0,2 Bed Flat
Southern Melbourne,Brighton,650.0,2 Bed Flat
Southern Melbourne,Brighton East,620.0,2 Bed Flat
Southern Melbourne,Carnegie,595.0,2 Bed Flat
