region,suburb,median_rent,property_type,median_price,sales_count,gross_yield,gross_yield_pct
Inner Melbourne,Armadale,1100.0,3 Bed House,2588000.0,20,0.022102009273570325,2.2102009273570324
Inner Melbourne,Carlton North,930.0,3 Bed House,1730000.0,20,0.027953757225433525,2.7953757225433526
Inner Melbourne,East Melbourne,1200.0,3 Bed House,1696000.0,2,0.03679245283018868,3.6792452830188678
Inner Melbourne,Elwood,1000.0,3 Bed House,2542500.0,20,0.020452310717797444,2.0452310717797446
Inner Melbourne,Fitzroy,1100.0,3 Bed House,1600000.0,24,0.03575,3.5749999999999997
Inner Melbourne,Port Melbourne,975.0,3 Bed House,1635000.0,36,0.031009174311926607,3.1009174311926606
Inner Melbourne,South Melbourne,950.0,3 Bed House,1590000.0,26,0.031069182389937108,3.106918238993711
Inner Melbourne,South Yarra,1100.0,3 Bed House,1590000.0,23,0.035974842767295595,3.5974842767295594
Inner Melbourne,St Kilda,950.0,3 Bed House,1423000.0,6,0.03471539002108222,3.471539002108222
Inner Melbourne,Toorak,1250.0,3 Bed House,3425000.0,9,0.01897810218978102,1.897810218978102
Inner Eastern Melbourne,Balwyn,725.0,3 Bed House,3100000.0,31,0.012161290322580644,1.2161290322580645
Inner Eastern Melbourne,Blackburn,600.0,3 Bed House,1638000.0,28,0.01904761904761905,1.9047619047619049
Inner Eastern Melbourne,Box Hill,650.0,3 Bed House,1725000.0,7,0.019594202898550725,1.9594202898550726
Inner Eastern Melbourne,Clayton,600.0,3 Bed House,1200000.0,13,0.026,2.6
Inner Eastern Melbourne,Hawthorn,925.0,3 Bed House,2440000.0,26,0.01971311475409836,1.971311475409836
Inner Eastern Melbourne,Kew,845.0,3 Bed House,2745000.0,54,0.01600728597449909,1.6007285974499088
Inner Eastern Melbourne,Mount Waverley,660.0,3 Bed House,1595000.0,97,0.021517241379310346,2.151724137931035
Southern Melbourne,Bentleigh,725.0,3 Bed House,1687500.0,36,0.02234074074074074,2.234074074074074
Southern Melbourne,Brighton,1150.0,3 Bed House,3341800.0,58,0.0178945478484649,1.78945478484649
Southern Melbourne,Brighton East,905.0,3 Bed House,2337500.0,42,0.020132620320855613,2.0132620320855614
Southern Melbourne,Carnegie,730.0,3 Bed House,1725000.0,21,0.022005797101449277,2.2005797101449276
Southern Melbourne,Caulfield,850.0,3 Bed House,2080000.0,5,0.02125,2.125
Southern Melbourne,Cheltenham,700.0,3 Bed House,1256000.0,37,0.028980891719745223,2.8980891719745223
Southern Melbourne,Elsternwick,900.0,3 Bed House,1950000.0,12,0.024,2.4
Southern Melbourne,Malvern,1050.0,3 Bed House,3340000.0,20,0.016347305389221557,1.6347305389221558
Southern Melbourne,Malvern East,750.0,3 Bed House,2000000.0,51,0.0195,1.95
Outer Western Melbourne,Altona,530.0,3 Bed House,1200000.0,25,0.022966666666666666,2.296666666666667
Outer Western Melbourne,Footscray,650.0,3 Bed House,955000.0,28,0.03539267015706806,3.5392670157068062
Outer Western Melbourne,Melton,420.0,3 Bed House,490000.0,53,0.044571428571428574,4.457142857142857
Outer Western Melbourne,Sunshine,495.0,3 Bed House,750000.0,33,0.03432,3.4320000000000004
Outer Western Melbourne,Sydenham,480.0,3 Bed House,690000.0,24,0.03617391304347826,3.6173913043478256
Outer Western Melbourne,West Footscray,600.0,3 Bed House,847500.0,24,0.036814159292035395,3.6814159292035393
Outer Western Melbourne,Williamstown,793.0,3 Bed House,1440000.0,29,0.028636111111111112,2.863611111111111
North Western Melbourne,Brunswick,850.0,3 Bed House,1305000.0,55,0.03386973180076629,3.3869731800766285
North Western Melbourne,Craigieburn,500.0,3 Bed House,679000.0,194,0.03829160530191458,3.829160530191458
North Western Melbourne,Essendon,650.0,3 Bed House,1500000.0,47,0.022533333333333332,2.2533333333333334
North Western Melbourne,Sunbury,490.0,3 Bed House,677500.0,208,0.037608856088560884,3.7608856088560882
North Eastern Melbourne,Northcote,850.0,3 Bed House,1720000.0,43,0.02569767441860465,2.5697674418604652
North Eastern Melbourne,Preston,650.0,3 Bed House,1172500.0,62,0.0288272921108742,2.88272921108742
North Eastern Melbourne,Reservoir,560.0,3 Bed House,915000.0,94,0.03182513661202186,3.182513661202186
North Eastern Melbourne,Thornbury,780.0,3 Bed House,1397500.0,24,0.02902325581395349,2.902325581395349
North Eastern Melbourne,Whittlesea,510.0,3 Bed House,755000.0,18,0.035125827814569535,3.5125827814569535
Outer Eastern Melbourne,Bayswater,580.0,3 Bed House,845500.0,26,0.03567120047309284,3.567120047309284
Outer Eastern Melbourne,Boronia,580.0,3 Bed House,856000.0,62,0.03523364485981308,3.5233644859813085
Outer Eastern Melbourne,Ferntree Gully,600.0,3 Bed House,902000.0,58,0.03458980044345898,3.458980044345898
Outer Eastern Melbourne,Ringwood,600.0,3 Bed House,1085500.0,25,0.02874251497005988,2.874251497005988
Outer Eastern Melbourne,Rowville,600.0,3 Bed House,1110000.0,68,0.02810810810810811,2.810810810810811
South Eastern Melbourne,Berwick,560.0,3 Bed House,900000.0,181,0.032355555555555554,3.2355555555555555
South Eastern Melbourne,Cranbourne,550.0,3 Bed House,660000.0,109,0.043333333333333335,4.333333333333334
South Eastern Melbourne,Dandenong,560.0,3 Bed House,725500.0,50,0.04013783597518952,4.013783597518953
South Eastern Melbourne,Noble Park,550.0,3 Bed House,777500.0,40,0.03678456591639871,3.678456591639871
South Eastern Melbourne,Pakenham,525.0,3 Bed House,670000.0,247,0.04074626865671642,4.074626865671642
South Eastern Melbourne,Springvale,560.0,3 Bed House,860000.0,29,0.03386046511627907,3.386046511627907
Mornington Peninsula,Frankston,565.0,3 Bed House,750000.0,146,0.03917333333333333,3.917333333333333
Geelong,Corio,410.0,3 Bed House,480000.0,81,0.04441666666666667,4.441666666666666
Geelong,Lara,495.0,3 Bed House,655000.0,34,0.039297709923664124,3.9297709923664126
Geelong,North Geelong,485.0,3 Bed House,650000.0,17,0.0388,3.88
Bendigo,Bendigo,470.0,3 Bed House,597500.0,34,0.04090376569037657,4.090376569037657
Bendigo,North Bendigo,470.0,3 Bed House,497500.0,23,0.049125628140703516,4.912562814070352
Other Regional Centres,Bairnsdale,450.0,3 Bed House,450000.0,35,0.052,5.2
Other Regional Centres,Benalla,450.0,3 Bed House,465000.0,55,0.05032258064516129,5.032258064516129
Other Regional Centres,Castlemaine,493.0,3 Bed House,782500.0,27,0.032761661341853036,3.2761661341853037
Other Regional Centres,Echuca,500.0,3 Bed House,579000.0,70,0.044905008635578586,4.490500863557859
Other Regional Centres,Hamilton,380.0,3 Bed House,415000.0,38,0.0476144578313253,4.76144578313253
Other Regional Centres,Horsham,410.0,3 Bed House,413100.0,68,0.051609779714354875,5.1609779714354875
Other Regional Centres,Mildura,475.0,3 Bed House,485000.0,165,0.05092783505154639,5.092783505154639
Other Regional Centres,Morwell,400.0,3 Bed House,351000.0,96,0.05925925925925926,5.9259259259259265
Other Regional Centres,Portland,425.0,3 Bed House,445000.0,57,0.049662921348314605,4.966292134831461
Other Regional Centres,Seymour,420.0,3 Bed House,443000.0,27,0.04930022573363431,4.930022573363431
Other Regional Centres,Shepparton,470.0,3 Bed House,470500.0,188,0.05194473963868225,5.194473963868225
Other Regional Centres,Swan Hill,450.0,3 Bed House,545000.0,35,0.04293577981651376,4.293577981651376
Other Regional Centres,Torquay,650.0,3 Bed House,1200000.0,89,0.028166666666666666,2.8166666666666664
Other Regional Centres,Traralgon,450.0,3 Bed House,535000.0,136,0.04373831775700934,4.373831775700935
Other Regional Centres,Wangaratta,460.0,3 Bed House,525000.0,89,0.04556190476190476,4.556190476190476
Other Regional Centres,Warragul,480.0,3 Bed House,620000.0,102,0.04025806451612903,4.025806451612903
Other Regional Centres,Warrnambool,550.0,3 Bed House,600000.0,122,0.04766666666666667,4.766666666666667
Other Regional Centres,Wodonga,500.0,3 Bed House,615000.0,108,0.04227642276422764,4.227642276422764
