suburb,gross_yield_pct,yield_quartile,spread_low_rate,spread_current_rate,spread_high_rate
Armadale,2.2102009273570324,Low Yield,-0.007897990726429698,-0.032897990726429696,-0.04789799072642971
Carlton North,2.7953757225433526,Mid-Low Yield,-0.002046242774566498,-0.0270462427745665,-0.042046242774566506
East Melbourne,3.679245283018868,Mid-High Yield,0.006792452830188603,-0.0182075471698114,-0.033207547169811405
Elwood,2.0452310717797446,Low Yield,-0.0095476892822026,-0.0345476892822026,-0.04954768928220261
Fitzroy,3.575,Mid-High Yield,0.005749999999999998,-0.019250000000000003,-0.03425000000000001
Port Melbourne,3.1009174311926606,Mid-Low Yield,0.0010091743119266007,-0.0239908256880734,-0.03899082568807341
South Melbourne,3.106918238993711,Mid-Low Yield,0.0010691823899371018,-0.0239308176100629,-0.03893081761006291
South Yarra,3.5974842767295594,Mid-High Yield,0.005974842767295499,-0.019025157232704502,-0.03402515723270451
St Kilda,3.471539002108222,Mid-Low Yield,0.004715390021082198,-0.020284609978917803,-0.03528460997891781
Toorak,1.897810218978102,Low Yield,-0.011021897810218999,-0.036021897810219,-0.05102189781021901
Balwyn,1.2161290322580645,Low Yield,-0.0178387096774194,-0.0428387096774194,-0.05783870967741941
Blackburn,1.9047619047619049,Low Yield,-0.010952380952380998,-0.035952380952381,-0.050952380952381006
Box Hill,1.9594202898550728,Low Yield,-0.010405797101449298,-0.035405797101449296,-0.05040579710144931
Clayton,2.6,Mid-Low Yield,-0.004,-0.029,-0.04400000000000001
Hawthorn,1.971311475409836,Low Yield,-0.010286885245901697,-0.0352868852459017,-0.050286885245901705
Kew,1.6007285974499088,Low Yield,-0.013992714025501,-0.038992714025501,-0.05399271402550101
Mount Waverley,2.151724137931035,Low Yield,-0.008482758620689698,-0.033482758620689695,-0.04848275862068971
Bentleigh,2.234074074074074,Low Yield,-0.0076592592592593,-0.032659259259259305,-0.047659259259259304
Brighton,1.78945478484649,Low Yield,-0.0121054521515351,-0.0371054521515351,-0.05210545215153511
Brighton East,2.013262032085561,Low Yield,-0.0098673796791444,-0.0348673796791444,-0.04986737967914441
Carnegie,2.200579710144928,Low Yield,-0.007994202898550799,-0.0329942028985508,-0.0479942028985508
Caulfield,2.125,Low Yield,-0.008749999999999997,-0.03375,-0.04875
Cheltenham,2.8980891719745223,Mid-Low Yield,-0.0010191082802547997,-0.0260191082802548,-0.041019108280254804
Elsternwick,2.4,Low Yield,-0.005999999999999998,-0.031,-0.046000000000000006
Malvern,1.6347305389221558,Low Yield,-0.013652694610778497,-0.0386526946107785,-0.053652694610778505
Malvern East,1.95,Low Yield,-0.010499999999999999,-0.035500000000000004,-0.0505
Altona,2.296666666666667,Low Yield,-0.007033333333333398,-0.0320333333333334,-0.047033333333333406
Footscray,3.5392670157068062,Mid-High Yield,0.005392670157068,-0.019607329842932,-0.03460732984293201
Melton,4.457142857142857,High Yield,0.014571428571428499,-0.010428571428571502,-0.02542857142857151
Sunshine,3.4320000000000004,Mid-Low Yield,0.004320000000000004,-0.020679999999999997,-0.03568
Sydenham,3.6173913043478256,Mid-High Yield,0.006173913043478203,-0.018826086956521798,-0.033826086956521804
West Footscray,3.6814159292035393,Mid-High Yield,0.006814159292035299,-0.018185840707964702,-0.03318584070796471
Williamstown,2.863611111111111,Mid-Low Yield,-0.0013638888888889006,-0.026363888888888902,-0.04136388888888891
Brunswick,3.3869731800766285,Mid-Low Yield,0.0038697318007661977,-0.021130268199233804,-0.03613026819923381
Craigieburn,3.829160530191458,Mid-High Yield,0.0082916053019145,-0.0167083946980855,-0.03170839469808551
Essendon,2.2533333333333334,Low Yield,-0.007466666666666698,-0.0324666666666667,-0.047466666666666706
Sunbury,3.760885608856088,Mid-High Yield,0.007608856088560802,-0.0173911439114392,-0.032391143911439206
Northcote,2.569767441860465,Low Yield,-0.0043023255813954,-0.0293023255813954,-0.04430232558139541
Preston,2.88272921108742,Mid-Low Yield,-0.0011727078891257993,-0.0261727078891258,-0.041172707889125804
Reservoir,3.182513661202186,Mid-Low Yield,0.0018251366120217993,-0.023174863387978202,-0.03817486338797821
Thornbury,2.902325581395349,Mid-Low Yield,-0.0009767441860465999,-0.0259767441860466,-0.040976744186046604
Whittlesea,3.512582781456953,Mid-High Yield,0.005125827814569502,-0.0198741721854305,-0.034874172185430506
Bayswater,3.567120047309284,Mid-High Yield,0.005671200473092802,-0.0193287995269072,-0.034328799526907205
Boronia,3.5233644859813085,Mid-High Yield,0.005233644859813001,-0.019766355140187,-0.03476635514018701
Ferntree Gully,3.458980044345898,Mid-Low Yield,0.0045898004434589,-0.020410199556541102,-0.03541019955654111
Ringwood,2.874251497005988,Mid-Low Yield,-0.0012574850299401988,-0.0262574850299402,-0.04125748502994021
Rowville,2.810810810810811,Mid-Low Yield,-0.0018918918918919003,-0.0268918918918919,-0.04189189189189191
Berwick,3.2355555555555555,Mid-Low Yield,0.0023555555555554997,-0.0226444444444445,-0.03764444444444451
Cranbourne,4.333333333333334,High Yield,0.013333333333333301,-0.0116666666666667,-0.026666666666666707
Dandenong,4.013783597518953,Mid-High Yield,0.010137835975189503,-0.014862164024810498,-0.029862164024810504
Noble Park,3.678456591639871,Mid-High Yield,0.006784565916398699,-0.018215434083601302,-0.03321543408360131
Pakenham,4.074626865671642,Mid-High Yield,0.0107462686567164,-0.014253731343283602,-0.029253731343283608
Springvale,3.386046511627907,Mid-Low Yield,0.0038604651162790007,-0.021139534883721,-0.03613953488372101
Frankston,3.917333333333333,Mid-High Yield,0.009173333333333304,-0.015826666666666697,-0.030826666666666704
Corio,4.441666666666666,High Yield,0.014416666666666599,-0.010583333333333403,-0.02558333333333341
Lara,3.9297709923664126,Mid-High Yield,0.009297709923664098,-0.015702290076335904,-0.03070229007633591
North Geelong,3.88,Mid-High Yield,0.008800000000000002,-0.0162,-0.031200000000000006
Bendigo,4.090376569037657,Mid-High Yield,0.010903765690376502,-0.0140962343096235,-0.029096234309623506
North Bendigo,4.912562814070352,High Yield,0.019125628140703503,-0.005874371859296498,-0.020874371859296505
Bairnsdale,5.2,High Yield,0.022,-0.0030000000000000027,-0.01800000000000001
Benalla,5.032258064516129,High Yield,0.020322580645161202,-0.004677419354838799,-0.019677419354838806
Castlemaine,3.276166134185304,Mid-Low Yield,0.002761661341853003,-0.022238338658147,-0.037238338658147005
Echuca,4.490500863557859,High Yield,0.014905008635578504,-0.010094991364421498,-0.025094991364421504
Hamilton,4.76144578313253,High Yield,0.0176144578313253,-0.007385542168674701,-0.022385542168674707
Horsham,5.160977971435488,High Yield,0.0216097797143548,-0.0033902202856452013,-0.018390220285645208
Mildura,5.092783505154639,High Yield,0.0209278350515463,-0.004072164948453701,-0.019072164948453707
Morwell,5.925925925925927,High Yield,0.0292592592592592,0.004259259259259199,-0.010740740740740808
Portland,4.966292134831461,High Yield,0.0196629213483146,-0.005337078651685402,-0.02033707865168541
Seymour,4.930022573363431,High Yield,0.019300225733634303,-0.005699774266365698,-0.020699774266365704
Shepparton,5.194473963868225,High Yield,0.021944739638682202,-0.003055260361317799,-0.018055260361317806
Swan Hill,4.293577981651376,High Yield,0.012935779816513698,-0.012064220183486303,-0.02706422018348631
Torquay,2.8166666666666664,Mid-Low Yield,-0.0018333333333333986,-0.0268333333333334,-0.0418333333333334
Traralgon,4.373831775700935,High Yield,0.013738317757009302,-0.011261682242990699,-0.026261682242990705
Wangaratta,4.556190476190476,High Yield,0.0155619047619047,-0.009438095238095301,-0.024438095238095307
Warragul,4.025806451612903,Mid-High Yield,0.010258064516128998,-0.014741935483871003,-0.02974193548387101
Warrnambool,4.766666666666667,High Yield,0.0176666666666666,-0.0073333333333334,-0.022333333333333406
Wodonga,4.227642276422764,High Yield,0.0122764227642276,-0.012723577235772401,-0.027723577235772408
