lga,avg_gross_yield_pct,suburb_count,active_bonds,demand_band
BAW BAW,4.025806451612903,1,3447,Low Demand
BOROONDARA,1.5960563683726032,3,18361,High Demand
BRIMBANK,3.576935744517122,3,16084,High Demand
CAMPASPE,4.490500863557859,1,2031,Low Demand
CARDINIA,4.074626865671642,1,8666,Medium Demand
CASEY,3.569439732473469,3,26283,High Demand
DAREBIN,3.29880268252693,4,19175,High Demand
EAST GIPPSLAND,5.2,1,3032,Low Demand
FRANKSTON,4.125333333333334,2,12803,Medium Demand
GANNAWARRA,4.293577981651376,1,422,Low Demand
GLEN EIRA,2.1045831632609127,5,22419,High Demand
GLENELG,4.966292134831461,1,1095,Low Demand
GREATER BENDIGO,4.5014696915540044,2,10127,Medium Demand
GREATER DANDENONG,3.5322515516338893,2,15709,Medium Demand
GREATER GEELONG,4.083812553011026,3,25692,High Demand
GREATER SHEPPARTON,5.113366014192177,2,5699,Medium Demand
HOBSONS BAY,2.580138888888889,2,8483,Medium Demand
HORSHAM,5.160977971435488,1,1716,Low Demand
HUME,3.760885608856088,1,18338,High Demand
KNOX,3.16708764839606,2,10785,Medium Demand
MACEDON RANGES,4.457142857142857,1,1918,Low Demand
MANNINGHAM,2.874251497005988,1,8565,Medium Demand
MARIBYRNONG,3.5392670157068062,1,14622,Medium Demand
MAROONDAH,3.567120047309284,1,8808,Medium Demand
MELBOURNE,3.4592156636470293,3,61357,High Demand
MILDURA,5.092783505154639,1,5062,Medium Demand
MONASH,2.3758620689655174,2,18478,High Demand
MOONEE VALLEY,2.2533333333333334,1,13959,Medium Demand
MOUNT ALEXANDER,3.276166134185304,1,902,Low Demand
MOYNE,4.766666666666667,1,602,Low Demand
MURRINDINDI,4.930022573363431,1,657,Low Demand
NILLUMBIK,3.512582781456953,1,3100,Low Demand
PORT PHILLIP,2.7559220782204195,4,20185,High Demand
SOUTHERN GRAMPIANS,4.76144578313253,1,850,Low Demand
STONNINGTON,1.9142472284190968,3,21376,High Demand
SURF COAST,2.8166666666666664,1,4134,Medium Demand
WANGARATTA,4.556190476190476,1,2098,Low Demand
WELLINGTON,4.373831775700935,1,2756,Low Demand
WHITEHORSE,1.9320910973084888,2,17656,High Demand
WHITTLESEA,3.829160530191458,1,16428,High Demand
YARRA,3.575,1,18168,High Demand
