Table 12: Moving annual median rents for suburbs and towns by major property type,,,,,,,,,,Contents page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 Bed Flat,,,,,,,2 Bed Flat,,,,,,,3 Bed Flat,,,,,,,2 Bed House,,,,,,,3 Bed House,,,,,,,4 Bed House,,,,,,,,,,
,,Count,Median,Ann % Ch,Percentile 25,Percentile 75,5 yr % ch,Ave 5 yr % ch,Count,Median,Ann % Ch,Percentile 25,Percentile 75,5 yr % ch,Ave 5 yr % ch,Count,Median,Ann % Ch,Percentile 25,Percentile 75,5 yr % ch,Ave 5 yr % ch,Count,Median,Ann % Ch,Percentile 25,Percentile 75,5 yr % ch,Ave 5 yr % ch,Count,Median,Ann % Ch,Percentile 25,Percentile 75,5 yr % ch,Ave 5 yr % ch,Count,Median,Ann % Ch,Percentile 25,Percentile 75,5 yr % ch,Ave 5 yr % ch,Metro/Rural,,,
Inner Melbourne,Albert Park-Middle Park-West St Kilda,185,$450,5.1%,$400,$495,26.8%,5.4%,152,$638,6.3%,$564,$770,27.6%,5.5%,23,$805,-16.4%,$745,"$1,100",-10.6%,-2.1%,84,$780,5.4%,$723,$878,15.9%,3.2%,90,"$1,110",-3.5%,$950,"$1,320",11.0%,2.2%,37,"$1,500",1.7%,"$1,250","$1,900",7.9%,1.6%,M,,,
,Armadale,180,$455,1.1%,$415,$560,23.6%,4.7%,281,$625,5.9%,$550,$750,25.0%,5.0%,47,$900,0.0%,$700,"$1,200",12.5%,2.5%,30,$798,6.4%,$695,$900,26.1%,5.2%,48,"$1,100",3.0%,$898,"$1,325",17.3%,3.5%,18,"$1,638",21.3%,"$1,250","$2,100",48.9%,9.8%,M,,,
,Carlton North,37,$425,6.3%,$395,$450,18.1%,3.6%,75,$585,2.6%,$550,$660,19.4%,3.9%,16,$755,6.3%,$695,$900,16.2%,3.2%,107,$750,7.1%,$680,$820,24.0%,4.8%,71,$930,3.3%,$800,"$1,050",20.8%,4.2%,-,-,-,-,-,-,-,M,,,
,Carlton-Parkville,"1,036",$500,6.4%,$435,$570,25.0%,5.0%,"1,193",$665,2.3%,$595,$750,20.9%,4.2%,105,$850,0.0%,$720,"$1,000",13.3%,2.7%,54,$650,0.0%,$590,$730,8.3%,1.7%,44,$900,2.9%,$798,"$1,100",20.0%,4.0%,31,"$1,080",-10.0%,$980,"$1,250",13.7%,2.7%,M,,,
,CBD-St Kilda Rd,"6,194",$559,1.6%,$495,$632,31.5%,6.3%,"6,508",$730,4.3%,$650,$820,21.7%,4.3%,694,"$1,100",10.0%,$900,"$1,250",29.4%,5.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M,,,
,Collingwood-Abbotsford,660,$520,4.0%,$480,$550,24.4%,4.9%,737,$690,4.5%,$620,$750,27.8%,5.6%,66,$944,-5.6%,$850,"$1,200",19.5%,3.9%,94,$718,2.6%,$650,$790,19.7%,3.9%,65,$950,8.6%,$865,"$1,150",18.8%,3.8%,12,"$1,150",2.2%,"$1,000","$1,350",40.6%,8.1%,M,,,
,Docklands,"1,259",$580,5.5%,$550,$650,26.1%,5.2%,"1,493",$750,5.6%,$690,$850,23.0%,4.6%,171,"$1,200",9.1%,"$1,010","$1,375",31.9%,6.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M,,,
,East Melbourne,189,$500,0.0%,$450,$575,16.3%,3.3%,178,$668,2.8%,$615,$775,7.7%,1.5%,30,"$1,088",8.8%,$900,"$1,650",21.6%,4.3%,12,$875,0.0%,$583,"$1,050",-2.8%,-0.6%,19,"$1,200",9.1%,$950,"$1,550",-2.0%,-0.4%,-,-,-,-,-,-,-,M,,,
,East St Kilda,431,$425,6.5%,$380,$461,28.8%,5.8%,700,$575,4.5%,$510,$650,30.7%,6.1%,158,$848,4.3%,$705,$950,41.8%,8.4%,45,$750,7.4%,$680,$800,25.0%,5.0%,73,$945,5.0%,$840,"$1,075",26.0%,5.2%,30,"$1,125",2.3%,"$1,000","$1,293",25.0%,5.0%,M,,,
,Elwood,340,$450,7.1%,$400,$500,32.4%,6.5%,632,$600,3.4%,$530,$680,27.7%,5.5%,83,$866,-3.8%,$700,"$1,085",34.7%,6.9%,29,$750,1.4%,$625,$830,15.4%,3.1%,51,"$1,000",-4.8%,$900,"$1,200",23.0%,4.6%,30,"$1,525",-11.5%,"$1,195","$1,800",29.8%,6.0%,M,,,
,Fitzroy,212,$530,6.0%,$420,$593,32.5%,6.5%,219,$740,4.2%,$650,$800,23.3%,4.7%,34,"$1,100",0.0%,$950,"$1,200",22.9%,4.6%,57,$800,4.2%,$725,$905,23.1%,4.6%,51,"$1,100",13.1%,$950,"$1,250",23.6%,4.7%,-,-,-,-,-,-,-,M,,,
,Fitzroy North-Clifton Hill,234,$500,14.9%,$420,$580,35.1%,7.0%,267,$670,7.2%,$570,$760,34.0%,6.8%,44,$978,11.8%,$880,"$1,150",31.3%,6.3%,127,$725,3.6%,$675,$800,18.9%,3.8%,85,$980,8.9%,$870,"$1,150",30.7%,6.1%,32,"$1,425",11.8%,"$1,150","$1,500",42.8%,8.6%,M,,,
,Flemington-Kensington,585,$450,5.9%,$350,$510,21.6%,4.3%,638,$550,5.8%,$495,$625,29.4%,5.9%,63,$800,8.8%,$600,$960,36.8%,7.4%,167,$620,1.6%,$585,$670,18.1%,3.6%,126,$750,0.0%,$690,$820,12.3%,2.5%,36,$948,5.3%,$850,"$1,000",26.4%,5.3%,M,,,
,North Melbourne-West Melbourne,"1,189",$520,6.1%,$450,$575,23.8%,4.8%,"1,177",$650,0.0%,$595,$730,18.2%,3.6%,160,$880,2.3%,$750,"$1,010",27.9%,5.6%,55,$650,4.8%,$575,$730,13.4%,2.7%,72,$850,1.8%,$775,$940,14.9%,3.0%,18,"$1,100",4.8%,$900,"$1,250",22.2%,4.4%,M,,,
